# DO NOT CHANGE - user already learned these (LOCKED first 250 = blocks 1-5 only)
globalIndex,block,wordInBlock,romaji,jp,english,mnemonic
1,1,1,watashi,私,I / me,"“What? Ah, SHE?” — “No, ME!” → watashi."
2,1,2,anata,あなた,you,Point at ANOTHER person: “Not me — YOU.” → anata.
3,1,3,hito,人,person,“HE told” that PERSON. → hito.
4,1,4,tomodachi,友達,friend,"TOMO is my buddy, my FRIEND. → tomodachi."
5,1,5,otoko,男,man,OTTO is a MAN. → otoko.
6,1,6,onna,女,woman,"“Oh, Nanna!” Nanna is a WOMAN. → onna."
7,1,7,kodomo,子供,child,COCO’s DOpey MOppet is a CHILD. → kodomo.
8,1,8,namae,名前,name,"“NAME, eh?” → namae = name."
9,1,9,iku,行く,go,"“EEK! Ooh!” Something scary appears, so you GO. → iku."
10,1,10,kuru,来る,come,The CREW is COMING. → kuru.
11,1,11,kaeru,帰る,return / go home,“CARE to RETURN home?” → kaeru.
12,1,12,taberu,食べる,eat,Sit at the TABLE to EAT. → taberu.
13,1,13,nomu,飲む,drink,Someone takes your glass: “NO MORE drinks!” → nomu.
14,1,14,miru,見る,see / watch,Look in the MIRROR to SEE yourself. → miru.
15,1,15,kiku,聞く,listen / ask,“KICK who?” You ASK because you didn’t HEAR. → kiku.
16,1,16,hanasu,話す,speak / talk,HANNAH’S the one who loves to TALK. → hanasu.
17,1,17,iu,言う,say,“YOU SAY it.” → iu.
18,1,18,yomu,読む,read,"“YO, I’m READing.” → yomu."
19,1,19,kaku,書く,write,A cockatoo grabs a pen and WRITES: “KA-KU!” → kaku.
20,1,20,shitteru,知ってる,know,"“SHIT, TERU? SURE, I KNOW.” → shitteru."
21,1,21,wakaru,分かる,understand,When you don’t understand: “WAKA? nah…” Wakaranai. Base wakaru = UNDERSTAND.
22,1,22,suru,する,do,SUE will DO it. → suru.
23,1,23,dekiru,できる,can / be able,The DECK CREW CAN do it. → dekiru.
24,1,24,kau,買う,buy,"“COW? Fine, I’ll BUY it.” → kau."
25,1,25,tsukau,使う,use,TWO COWS USE the machine. → tsukau.
26,1,26,tsukuru,作る,make,TWO CREW members MAKE it. → tsukuru.
27,1,27,matsu,待つ,wait,MATT waits. → matsu.
28,1,28,toru,取る,take,“TORE it off? TAKE it.” → toru.
29,1,29,ageru,あげる,give,A GERbil GIVES you a present. → ageru.
30,1,30,morau,もらう,receive / get,“MORE? Ow!” You RECEIVE more. → morau.
31,1,31,neru,寝る,sleep,NERO goes to SLEEP. → neru.
32,1,32,okiru,起きる,wake up,"“OKAY, rise!” WAKE UP. → okiru."
33,1,33,hataraku,働く,work,Put on your HAT and WORK. → hataraku.
34,1,34,yasumu,休む,rest / take off,"“YAS, I’m RESTING.” → yasumu."
35,1,35,suki,好き,like,SOOKIE LIKES it. → suki.
36,1,36,kirai,嫌い,dislike,KIRA really DISLIKES it. → kirai.
37,1,37,hoshii,欲しい,want,"“Oh, SHE really WANTS it.” → hoshii."
38,1,38,ii,いい,good,“Eee! That’s GOOD!” → ii.
39,1,39,warui,悪い,bad,WAR is BAD. → warui.
40,1,40,ookii,大きい,big,"“OOH, KEY!” It’s a gigantic key: BIG. → ookii."
41,1,41,chiisai,小さい,small,A tiny piece of CHEESE is SMALL. → chiisai.
42,1,42,atarashii,新しい,new,"At a RUSH, she buys a NEW one. → atarashii."
43,1,43,furui,古い,old,That OLD coat is covered in FUR. → furui.
44,1,44,atsui,暑い,hot (weather),"“AH, SWEATY!” It’s HOT. → atsui."
45,1,45,samui,寒い,cold (weather),"“SAM, ooh!” It’s COLD. → samui."
46,1,46,takai,高い,expensive / high,"That price is so HIGH you say, “TAKE? I can’t!” → takai."
47,1,47,yasui,安い,cheap,"“YES, we’ll buy it!” because it’s CHEAP. → yasui."
48,1,48,hayai,早い,early / fast,“HI-YA!” Move FAST! → hayai.
49,1,49,osoi,遅い,late / slow,"“OH, SO SLOW.” → osoi."
