block,wordIndex,romaji,jp,audio,english,mnemonic,spokenRank
1,0,watashi,私,わたし,I / me,"“What? Ah, SHE?” — “No, ME!” → watashi.",2
1,1,anata,あなた,あなた,you,Point at ANOTHER person: “Not me — YOU.” → anata.,1
1,2,hito,人,ひと,person,“HE told” that PERSON. → hito.,104
1,3,tomodachi,友達,ともだち,friend,"TOMO is my buddy, my FRIEND. → tomodachi.",163
1,4,otoko,男,おとこ,man,OTTO is a MAN. → otoko.,65
1,5,onna,女,おんな,woman,"“Oh, Nanna!” Nanna is a WOMAN. → onna.",184
1,6,kodomo,子供,こども,child,COCO’s DOpey MOppet is a CHILD. → kodomo.,294
1,7,namae,名前,なまえ,name,"“NAME, eh?” → namae = name.",181
1,8,iku,行く,いく,go,"“EEK! Ooh!” Something scary appears, so you GO. → iku.",22
1,9,kuru,来る,くる,come,The CREW is COMING. → kuru.,34
1,10,kaeru,帰る,かえる,return / go home,“CARE to RETURN home?” → kaeru.,22
1,11,taberu,食べる,たべる,eat,Sit at the TABLE to EAT. → taberu.,263
1,12,nomu,飲む,のむ,drink,Someone takes your glass: “NO MORE drinks!” → nomu.,248
1,13,miru,見る,みる,see / watch,Look in the MIRROR to SEE yourself. → miru.,48
1,14,kiku,聞く,きく,listen / ask,“KICK who?” You ASK because you didn’t HEAR. → kiku.,144
1,15,hanasu,話す,はなす,speak / talk,HANNAH’S the one who loves to TALK. → hanasu.,95
1,16,iu,言う,いう,say,“YOU SAY it.” → iu.,50
1,17,yomu,読む,よむ,read,"“YO, I’m READing.” → yomu.",309
1,18,kaku,書く,かく,write,A cockatoo grabs a pen and WRITES: “KA-KU!” → kaku.,315
1,19,shitteru,知ってる,しってる,know,"“SHIT, TERU? SURE, I KNOW.” → shitteru.",25
1,20,wakaru,分かる,わかる,understand,When you don’t understand: “WAKA? nah…” Wakaranai. Base wakaru = UNDERSTAND.,204
1,21,suru,する,する,do,SUE will DO it. → suru.,11
1,22,dekiru,できる,できる,can / be able,The DECK CREW CAN do it. → dekiru.,3
1,23,kau,買う,かう,buy,"“COW? Fine, I’ll BUY it.” → kau.",306
1,24,tsukau,使う,つかう,use,TWO COWS USE the machine. → tsukau.,274
1,25,tsukuru,作る,つくる,make,TWO CREW members MAKE it. → tsukuru.,63
1,26,matsu,待つ,まつ,wait,MATT waits. → matsu.,121
1,27,toru,取る,とる,take,“TORE it off? TAKE it.” → toru.,60
1,28,ageru,あげる,あげる,give,A GERbil GIVES you a present. → ageru.,87
1,29,morau,もらう,もらう,receive / get,“MORE? Ow!” You RECEIVE more. → morau.,17
1,30,neru,寝る,ねる,sleep,NERO goes to SLEEP. → neru.,297
1,31,okiru,起きる,おきる,wake up,"“OKAY, rise!” WAKE UP. → okiru.",611
1,32,hataraku,働く,はたらく,work,Put on your HAT and WORK. → hataraku.,109
1,33,yasumu,休む,やすむ,rest / take off,"“YAS, I’m RESTING.” → yasumu.",60
1,34,suki,好き,すき,like,SOOKIE LIKES it. → suki.,37
1,35,kirai,嫌い,きらい,dislike,KIRA really DISLIKES it. → kirai.,
1,36,hoshii,欲しい,ほしい,want,"“Oh, SHE really WANTS it.” → hoshii.",46
1,37,ii,いい,いい,good,“Eee! That’s GOOD!” → ii.,42
1,38,warui,悪い,わるい,bad,WAR is BAD. → warui.,166
1,39,ookii,大きい,おおきい,big,"“OOH, KEY!” It’s a gigantic key: BIG. → ookii.",169
1,40,chiisai,小さい,ちいさい,small,A tiny piece of CHEESE is SMALL. → chiisai.,592
1,41,atarashii,新しい,あたらしい,new,"At a RUSH, she buys a NEW one. → atarashii.",139
1,42,furui,古い,ふるい,old,That OLD coat is covered in FUR. → furui.,190
1,43,atsui,暑い,あつい,hot (weather),"“AH, SWEATY!” It’s HOT. → atsui.",447
1,44,samui,寒い,さむい,cold (weather),"“SAM, ooh!” It’s COLD. → samui.",581
1,45,takai,高い,たかい,expensive / high,"That price is so HIGH you say, “TAKE? I can’t!” → takai.",441
1,46,yasui,安い,やすい,cheap,"“YES, we’ll buy it!” because it’s CHEAP. → yasui.",1555
1,47,hayai,早い,はやい,early / fast,“HI-YA!” Move FAST! → hayai.,561
1,48,osoi,遅い,おそい,late / slow,"“OH, SO SLOW.” → osoi.",345
1,49,tanoshii,楽しい,たのしい,fun / enjoyable,"TANYA, SHE is having FUN. → tanoshii.",383
2,0,muzukashii,難しい,むずかしい,hard / difficult,“MUSIC? Gosh!” This is DIFFICULT. → muzukashii.,311
2,1,isogashii,忙しい,いそがしい,busy,“It’s SO GOSH…” BUSY! → isogashii.,679
2,2,genki,元気,げんき,well / energetic,GENKI sounds like a name for someone bursting with ENERGY. → genki.,56
2,3,kyou,今日,きょう,today,"“’Kay, YO — do it TODAY.” → kyou.",245
2,4,ashita,明日,あした,tomorrow,"“ASH, I’ll do that TOMORROW.” → ashita.",290
2,5,kinou,昨日,きのう,yesterday,“KEY? NO — I had it YESTERDAY.” → kinou.,728
2,6,ima,今,いま,now,“I’MA do it NOW.” → ima.,53
2,7,asa,朝,あさ,morning,“AS A morning person…” → asa.,
2,8,hiru,昼,ひる,noon / daytime,“HERE at noon.” → hiru.,2591
2,9,yoru,夜,よる,night,“YOU’RE up at NIGHT.” → yoru.,137
2,10,mainichi,毎日,まいにち,every day,“MY NICHE? I do it EVERY DAY.” → mainichi.,203
2,11,mada,まだ,まだ,still / not yet,"“MAD? Ah… STILL not ready, NOT YET.” → mada.",27
2,12,mou,もう,もう,already / anymore,“MO’ food? You ALREADY ate — no MORE!” (not mata/again) → mou.,304
2,13,koko,ここ,ここ,here,Call Coco: “COCO! HERE!” → koko.,32
2,14,soko,そこ,そこ,there,“Your SOCK-O is over THERE.” → soko.,35
2,15,asoko,あそこ,あそこ,over there,“A SOCK-O is way OVER THERE.” → asoko.,105
2,16,doko,どこ,どこ,where,“DOCO? WHERE did it go?” → doko.,78
2,17,ie,家,いえ,house / home,"“YEAH, I’m HOME.” → ie.",153
2,18,mise,店,みせ,shop / store,MISSY works at the SHOP. → mise.,852
2,19,eki,駅,えき,station,The E-key gets you through the train STATION. → eki.,742
