block,index,romaji,jp,audio,english,mnemonic
1,0,watashi,私,わたし,I / me,"“What? Ah, SHE?” — “No, ME!” → watashi."
1,1,anata,あなた,あなた,you,Point at ANOTHER person: “Not me — YOU.” → anata.
1,2,hito,人,ひと,person,“HE told” that PERSON. → hito.
1,3,tomodachi,友達,ともだち,friend,"TOMO is my buddy, my FRIEND. → tomodachi."
1,4,otoko,男,おとこ,man,OTTO is a MAN. → otoko.
1,5,onna,女,おんな,woman,"“Oh, Nanna!” Nanna is a WOMAN. → onna."
1,6,kodomo,子供,こども,child,COCO’s DOpey MOppet is a CHILD. → kodomo.
1,7,namae,名前,なまえ,name,"“NAME, eh?” → namae = name."
1,8,iku,行く,いく,go,"“EEK! Ooh!” Something scary appears, so you GO. → iku."
1,9,kuru,来る,くる,come,The CREW is COMING. → kuru.
1,10,kaeru,帰る,かえる,return / go home,“CARE to RETURN home?” → kaeru.
1,11,taberu,食べる,たべる,eat,Sit at the TABLE to EAT. → taberu.
1,12,nomu,飲む,のむ,drink,Someone takes your glass: “NO MORE drinks!” → nomu.
1,13,miru,見る,みる,see / watch,Look in the MIRROR to SEE yourself. → miru.
1,14,kiku,聞く,きく,listen / ask,“KICK who?” You ASK because you didn’t HEAR. → kiku.
1,15,hanasu,話す,はなす,speak / talk,HANNAH’S the one who loves to TALK. → hanasu.
1,16,iu,言う,いう,say,“YOU SAY it.” → iu.
1,17,yomu,読む,よむ,read,"“YO, I’m READing.” → yomu."
1,18,kaku,書く,かく,write,A cockatoo grabs a pen and WRITES: “KA-KU!” → kaku.
1,19,shitteru,知ってる,しってる,know,"“SHIT, TERU? SURE, I KNOW.” → shitteru."
1,20,wakaru,分かる,わかる,understand,When you don’t understand: “WAKA? nah…” Wakaranai. Base wakaru = UNDERSTAND.
1,21,suru,する,する,do,SUE will DO it. → suru.
1,22,dekiru,できる,できる,can / be able,The DECK CREW CAN do it. → dekiru.
1,23,kau,買う,かう,buy,"“COW? Fine, I’ll BUY it.” → kau."
1,24,tsukau,使う,つかう,use,TWO COWS USE the machine. → tsukau.
1,25,tsukuru,作る,つくる,make,TWO CREW members MAKE it. → tsukuru.
1,26,matsu,待つ,まつ,wait,MATT waits. → matsu.
1,27,toru,取る,とる,take,“TORE it off? TAKE it.” → toru.
1,28,ageru,あげる,あげる,give,A GERbil GIVES you a present. → ageru.
1,29,morau,もらう,もらう,receive / get,“MORE? Ow!” You RECEIVE more. → morau.
1,30,neru,寝る,ねる,sleep,NERO goes to SLEEP. → neru.
1,31,okiru,起きる,おきる,wake up,"“OKAY, rise!” WAKE UP. → okiru."
1,32,hataraku,働く,はたらく,work,Put on your HAT and WORK. → hataraku.
1,33,yasumu,休む,やすむ,rest / take off,"“YAS, I’m RESTING.” → yasumu."
1,34,suki,好き,すき,like,SOOKIE LIKES it. → suki.
1,35,kirai,嫌い,きらい,dislike,KIRA really DISLIKES it. → kirai.
1,36,hoshii,欲しい,ほしい,want,"“Oh, SHE really WANTS it.” → hoshii."
1,37,ii,いい,いい,good,“Eee! That’s GOOD!” → ii.
1,38,warui,悪い,わるい,bad,WAR is BAD. → warui.
1,39,ookii,大きい,おおきい,big,"“OOH, KEY!” It’s a gigantic key: BIG. → ookii."
1,40,chiisai,小さい,ちいさい,small,A tiny piece of CHEESE is SMALL. → chiisai.
1,41,atarashii,新しい,あたらしい,new,"At a RUSH, she buys a NEW one. → atarashii."
1,42,furui,古い,ふるい,old,That OLD coat is covered in FUR. → furui.
