# Words 251-500 = blocks 6-10 (continue AFTER locked first 250)
globalIndex,block,wordInBlock,romaji,jp,english,mnemonic
251,6,1,yaru,やる,do / give (casual),YA-RU — DO. → yaru.
252,6,2,omou,思う,think / feel,O-MOU — THINK. → omou.
253,6,3,aru,ある,exist / have (things),A-RU — EXIST. → aru.
254,6,4,iru,いる,exist / be (people/animals),I-RU — EXIST. → iru.
255,6,5,deru,出る,go out / leave / come out,DE-RU — GO OUT. → deru.
256,6,6,ireru,入れる,put in / let in,I-RE-RU — PUT IN. → ireru.
257,6,7,dasu,出す,take out / put out,DA-SU — TAKE OUT. → dasu.
258,6,8,kureru,くれる,give (to me/us),KU-RE-RU — GIVE (TO ME. → kureru.
259,6,9,naru,なる,become,NA-RU — BECOME. → naru.
260,6,10,yameru,やめる,stop / quit,YA-ME-RU — STOP. → yameru.
261,6,11,hajimaru,始まる,start / begin,HA-JI-MA-RU — START. → hajimaru.
262,6,12,tsuku,着く,arrive,TSU-KU — ARRIVE. → tsuku.
263,6,13,noru,乗る,ride / get on,N-O-RU — RIDE. → noru.
264,6,14,oriru,降りる,get off / go down,O-RI-RU — GET OFF. → oriru.
265,6,15,akeru,開ける,open,"""A-KEY"" — OPEN the door. → akeru."
266,6,16,shimeru,閉める,close,SHI-ME-RU — CLOSE the door. → shimeru.
267,6,17,atsumeru,集める,collect / gather,A-TSU-ME-RU — COLLECT. → atsumeru.
268,6,18,atsumaru,集まる,gather / meet up,A-TSU-MA-RU — GATHER. → atsumaru.
269,6,19,kaesu,返す,return / give back,KAE-SU — RETURN. → kaesu.
270,6,20,kawaru,変わる,change,KA-WA-RU — CHANGE. → kawaru.
271,6,21,kaeru,変える,change something,“CARE to RETURN home?” → kaeru.
272,6,22,naosu,直す,fix / correct,N-AO-SU — FIX. → naosu.
273,6,23,naoru,直る,be fixed / get better,N-AO-RU — BE FIXED. → naoru.
274,6,24,wasureru,忘れる,forget,WASU-RERU — FORGET it. → wasureru.
275,6,25,oboeru,覚える,remember / learn,"OH, BO EH RU — REMEMBER this. → oboeru."
276,6,26,oshieru,教える,tell / teach,O-SHIE-RU — TELL. → oshieru.
277,6,27,narau,習う,learn (from someone),N-A-RAU — LEARN (FROM SOMEONE). → narau.
278,6,28,shiru,知る,find out / come to know,SHI-RU — FIND OUT. → shiru.
279,6,29,kangaeru,考える,think / consider,KANGAERU — THINK → kangaeru.
280,6,30,kimeru,決める,decide,KI-ME-RU — DECIDE. → kimeru.
281,6,31,kimaru,決まる,be decided,KI-MA-RU — BE DECIDED. → kimaru.
282,6,32,erabu,選ぶ,choose,ERABU — CHOOSE / pick → erabu.
283,6,33,sagasu,探す,look for,SA-GA-SU — LOOK FOR. → sagasu.
284,6,34,mitsukaru,見つかる,be found / find it,MI-TSU-KA-RU — BE FOUND. → mitsukaru.
285,6,35,miseru,見せる,show,"ME, SEE RU — SHOW me. → miseru."
286,6,36,tsutaeru,伝える,tell / convey,TSU-TAE-RU — TELL. → tsutaeru.
287,6,37,yobu,呼ぶ,call / invite,YO-BU — CALL. → yobu.
288,6,38,yomeru,読める,can read,YO-ME-RU — CAN READ. → yomeru.
289,6,39,warau,笑う,laugh,WA-RAU — LAUGH. → warau.
290,6,40,naku,泣く,cry,N-A-KU — CRY. → naku.
291,6,41,okoru,怒る,get angry,"OH, COR! What will HAPPEN? → okoru."
292,6,42,odoroku,驚く,be surprised,O-DO-RO-KU — BE SURPRISED. → odoroku.
293,6,43,komaru,困る,be in trouble / not know what to do,KOMARU — be in TROUBLE → komaru.
294,6,44,ganbaru,頑張る,try hard / do one's best,GAN-BA-RU — TRY HARD. → ganbaru.
295,6,45,tetsudau,手伝う,help out,TE-TSU-DAU — HELP OUT. → tetsudau.
296,6,46,tanomu,頼む,ask / request / order,TAN-O-MU — ASK. → tanomu.
297,6,47,kotaeru,答える,answer,KO-TAE-RU — ANSWER. → kotaeru.
298,6,48,shitsumon suru,質問する,ask a question,SHI-TSU-MON SU-RU — ASK A QUESTION. → shitsumon suru.
299,6,49,renraku suru,連絡する,contact,REN-RA-KU SU-RU — CONTACT. → renraku suru.
300,6,50,denwa suru,電話する,call / phone,DEN-WA SU-RU — CALL. → denwa suru.
301,7,1,hanashi,話,story / talk,HA-NA-SHI — STORY. → hanashi.
302,7,2,koto,こと,thing / matter (abstract),KO-TO — THING. → koto.
303,7,3,tokoro,ところ,place / point / part,TO-KO-RO — PLACE. → tokoro.
304,7,4,toki,時,time / when,TO-KI — TIME. → toki.
305,7,5,hito,人,person,"""HE told"" that PERSON. → hito."
306,7,6,minna,みんな,everyone,MIN-NA — EVERYBODY. → minna.
307,7,7,dareka,誰か,someone,DARE-KA — SOMEONE. → dareka.
308,7,8,nanika,何か,something,N-AN-I-KA — SOMETHING. → nanika.
309,7,9,dore,どれ,which one,DO RE — WHICH one? → dore.
310,7,10,kore,これ,this,KO-RE — THIS. → kore.
311,7,11,sore,それ,that,SO-RE — THAT. → sore.
312,7,12,are,あれ,that over there,A-RE — THAT OVER THERE. → are.
313,7,13,kono,この,this + noun,KON-O — THIS + NOUN. → kono.
314,7,14,sono,その,that + noun,SONO — THAT / its → sono.
315,7,15,ano,あの,that + noun / um,AN-O — THAT + NOUN. → ano.
